"","Year","Beef","Veal","Pork","Lamb","Chicken","Turkey","Fresh Fish","Fresh Shellfish","Canned Salmon","Canned Sardines","Canned Tuna","Canned Shellfish","Other Canned","Eggs","Peanuts","Almonds","Hazelnuts","Pecans","Walnuts","Macadamia nuts","Pistachios","Other nuts","Coconuts"
"32",2001,173.62,0.83,93.75,2.16,127.55,20.52,4.83,2.73,0.53,0.31,3.26,0.29,0.53,39.48,37.5,4.55,0.53,3.15,2.65,0.93,1.12,4.5,4.32
"33",2002,177.45,0.83,96.1,2.22,134.18,20.74,5.1,2.98,0.66,0.16,3.49,0.29,0.47,39.9,37.31,5.9,0.46,3.32,3.33,0.82,1.2,5.07,4.18
"34",2003,170.39,0.82,96.7,2.12,136.01,20.42,4.84,3.39,0.51,0.16,3.81,0.28,0.47,40.49,40.59,6.18,0.35,3.19,3.19,0.97,1.06,6.2,4.13
"35",2004,173.34,0.7,95.6,2.13,140.1,19.98,4.67,3.74,0.4,0.16,3.71,0.38,0.53,40.24,42.53,4.92,0.42,3.45,3.33,1.18,1.47,6.63,3.76
"36",2005,171.85,0.64,92.77,2.01,142.97,19.56,5.18,3.27,0.53,0.15,3.49,0.38,0.41,39.63,42.49,3.34,0.13,3.11,2.64,1.01,0.86,5.37,4
"37",2006,172.67,0.6,91.73,1.99,143.82,19.8,5.53,3.47,0.25,0.3,3.24,0.38,0.32,39.75,41.56,5.47,0.45,3.11,3.41,1.01,0.95,5.87,3.93
"38",2007,170.87,0.56,94.16,2.14,141.47,20.5,5.6,3.27,0.41,0.3,3.03,0.42,0.4,38.77,40.18,6.52,0.31,3.09,3,0.83,1.27,6.53,4.07
"39",2008,163.34,0.57,91.64,1.89,138.73,20.61,5.26,3.32,0.12,0.32,3.14,0.43,0.52,37.81,40.79,7.45,0.28,3.45,3,0.85,0.56,5.83,3.7
"40",2009,159.76,0.56,92.85,1.85,132.42,19.8,5.29,3.3,0.3,0.34,2.8,0.39,0.47,37.98,42.06,7.51,0.25,3.33,3.49,0.78,0.99,6.13,4.12
"41",2010,155.89,0.56,88.46,1.71,137.02,19.19,5.38,3.1,0.31,0.31,3.04,0.43,0.5,37.9,44.25,8.63,0.28,3.7,2.84,0.84,0.96,5.7,4.3
"42",2011,149.68,0.51,84.48,1.58,137.86,18.78,4.88,3.06,0.21,0.32,2.85,0.42,0.52,38.01,44.09,9.72,0.32,2.55,2.65,0.92,1.38,4.75,4.74
"43",2012,150,0.45,84.91,1.6,133.8,18.71,4.73,2.93,0.19,0.33,2.64,0.38,0.47,39.14,42.56,10.75,0.35,2.99,2.96,0.81,1.48,5.2,5.42
"44",2013,147.38,0.44,86.72,1.72,136.24,18.72,4.69,2.92,0.54,0.3,2.59,0.36,0.51,39.71,43.54,10.38,0.3,2.46,2.94,0.77,1,5.63,4.98
"45",2014,141.78,0.36,84.94,1.79,138.82,18.53,5.01,2.97,0.07,0.32,2.58,0.36,0.56,40.93,44.13,9.21,0.44,3.41,2.59,0.83,1.17,6.5,5.95
"46",2015,141.41,0.32,92.31,1.87,147.82,18.7,5.51,2.98,0.42,0.31,2.48,0.47,0.66,39.42,46.77,9.69,0.25,2.98,2.5,0.86,1.27,6.46,6.6
"47",2016,145.56,0.26,92.96,1.98,149.14,19.5,5.09,3.16,0,0.34,2.34,0.46,0.74,41.87,45.66,11.54,0.32,3.08,3.58,0.56,2.41,6.92,6.47
"48",2017,149.41,0.28,93.17,2.04,151.26,19.27,5.3,3.47,0.34,0.39,2.33,0.47,0.74,42.65,46.53,12.39,0.38,3.15,3.15,0.8,2.34,7.13,6.18
